Randomizer Version: 4.6.0
Random Seed: 8190105131538
Settings String: 321YQgEATL8AP8AAgEEAAIeAxgIFAAAFAA+AQABEgAAAAAABAAYMtkyAQAICTIGBAAyAAUAC0VtZXJhbGQgKFUp/oaDOOPDOIo=

--Pokemon Base Stats & Types--
NUM|NAME      |TYPE             |  HP| ATK| DEF|SATK|SDEF| SPD|ABILITY1    |ABILITY2    |ITEM
#182 (BLACK BELT KOICHI)@311CA0 - NUZLEAF Lv24, PIDGEOTTO Lv28
#183 (BLACK BELT NOB)@311CC8 - AGGRON Lv19
#184 (BLACK BELT NOB)@311CF0 - WOBBUFFET Lv27
#185 (BLACK BELT NOB)@311D18 - ONIX Lv29, DONPHAN Lv29
#186 (BLACK BELT NOB)@311D40 - MAGCARGO Lv31, LOTAD Lv31, PORYGON2 Lv31
#187 (BLACK BELT NOB)@311D68 - MEDICHAM Lv33, CAMERUPT Lv33, SUDOWOODO Lv33, HUNTAIL@BLACK BELT Lv33
#188 (BLACK BELT YUJI)@311D90 - SPHEAL Lv26, METAPOD Lv26
#189 (BLACK BELT DAISUKE)@311DB8 - ELECTABUZZ Lv19
#190 (BLACK BELT ATSUSHI)@311DE0 - CATERPIE Lv32
#191 (GUITARIST KIRK)@311E08 - LARVITAR Lv17, GLIGAR Lv17
#192 (TEAM AQUA GRUNT)@311E30 - CHARIZARD Lv31, NIDORINA Lv31
#193 (TEAM AQUA GRUNT)@311E58 - EXEGGCUTE Lv32
#194 (GUITARIST SHAWN)@311E80 - PIDGEOT Lv17, PINSIR Lv17
#195 (GUITARIST FERNANDO)@311EA8 - MUK Lv30, HOPPIP Lv30
#196 (GUITARIST DALTON)@311ED0 - TROPIUS Lv15, AZUMARILL Lv15
#197 (GUITARIST DALTON)@311EF8 - KINGLER Lv25, DROWZEE Lv25, CHIMECHO Lv25
#198 (GUITARIST DALTON)@311F20 - MARILL Lv28, MEWTWO Lv28, DEOXYS Lv28
#199 (GUITARIST DALTON)@311F48 - SABLEYE Lv31, JOLTEON Lv31, WHISCASH Lv31
#200 (GUITARIST DALTON)@311F70 - DRAGONAIR Lv34, JYNX Lv34, FEAROW Lv34
#201 (KINDLER COLE)@311F98 - TYROGUE Lv23
#202 (KINDLER JEFF)@311FC0 - BRELOOM Lv22, FARFETCH’D Lv22
#203 (KINDLER AXLE)@311FE8 - KIRLIA Lv23
#204 (KINDLER JACE)@312010 - PIDGEOT Lv23
#205 (KINDLER KEEGAN)@312038 - SCYTHER Lv23
#206 (KINDLER BERNIE)@312060 - RATICATE Lv18, LEDYBA Lv18
#207 (KINDLER BERNIE)@312088 - VOLTORB Lv26, TORKOAL Lv26
#208 (KINDLER BERNIE)@3120B0 - PLUSLE Lv29, VENUSAUR Lv29
#209 (KINDLER BERNIE)@3120D8 - ENTEI Lv32, PERSIAN Lv32
#210 (KINDLER BERNIE)@312100 - SCEPTILE Lv35, MAGNETON Lv35
#211 (CAMPER DREW)@312128 - SLUGMA Lv23
#212 (CAMPER BEAU)@312150 - DODRIO Lv21, LUVDISC Lv21, GOLBAT Lv21
#213 (CAMPER LARRY)@312178 - CLAMPERL Lv18
#214 (CAMPER SHANE)@3121A0 - FEAROW Lv18, FEEBAS Lv18
#215 (CAMPER JUSTIN)@3121C8 - BAGON Lv24
#216 (CAMPER ETHAN)@3121F0 - CUBONE Lv20, STANTLER Lv20
#217 (PICNICKER AUTUMN)@312218 - SPOINK Lv21
#218 (CAMPER TRAVIS)@312240 - WAILORD Lv18
#219 (CAMPER ETHAN)@312268 - SQUIRTLE Lv26, HOUNDOOM Lv26
#220 (CAMPER ETHAN)@312290 - TENTACOOL Lv29, BELLSPROUT Lv29
#221 (CAMPER ETHAN)@3122B8 - MACHAMP Lv31, WHISMUR Lv31, MANTINE Lv31
#222 (CAMPER ETHAN)@3122E0 - ESPEON Lv34, BELDUM Lv34, JYNX Lv34
#223 (BUG MANIAC BRENT)@312308 - BALTOY Lv26
#224 (BUG MANIAC DONALD)@312330 - SHIFTRY Lv24, MACHOKE Lv24, WURMPLE Lv24
#225 (BUG MANIAC TAYLOR)@312358 - FLYGON Lv27, TENTACRUEL Lv27, DRAGONAIR Lv27
#226 (BUG MANIAC JEFFREY)@312380 - MILOTIC Lv27, BLISSEY Lv27, ZANGOOSE Lv27
#227 (BUG MANIAC DEREK)@3123A8 - WEEDLE Lv16, NINJASK Lv16
#228 (BUG MANIAC JEFFREY)@3123D0 - COMBUSKEN Lv31, AZURILL Lv31, GYARADOS Lv31
#229 (BUG MANIAC JEFFREY)@3123F8 - BAYLEEF Lv34, METAPOD Lv34, SLAKING Lv34
#230 (BUG MANIAC JEFFREY)@312420 - JUMPLUFF Lv36, PIDGEY Lv36, PORYGON2 Lv36, CHINCHOU Lv36
#231 (BUG MANIAC JEFFREY)@312448 - ABSOL Lv38, SEEDOT Lv38, SEAKING Lv38, PSYDUCK@SILVERPOWDER Lv38, IVYSAUR Lv38
#232 (PSYCHIC EDWARD)@312470 - TEDDIURSA Lv15
#233 (PSYCHIC PRESTON)@312498 - GOREBYSS Lv36
#234 (PSYCHIC VIRGIL)@3124C0 - SHARPEDO Lv36
#235 (PSYCHIC BLAKE)@3124E8 - BARBOACH Lv36
#236 (PSYCHIC WILLIAM)@312510 - SUICUNE Lv26, VILEPLUME Lv26, NUMEL Lv26
#237 (PSYCHIC JOSHUA)@312538 - JYNX Lv41, SWALOT Lv41
#238 (PSYCHIC CAMERON)@312560 - MAWILE Lv31
#239 (PSYCHIC CAMERON)@312588 - SHUPPET Lv33, WARTORTLE Lv33
#240 (PSYCHIC CAMERON)@3125B0 - RALTS Lv38, LINOONE Lv38
#241 (PSYCHIC CAMERON)@3125D8 - TREECKO Lv41, TAUROS Lv41
#242 (PSYCHIC CAMERON)@312600 - AGGRON Lv45, MASQUERAIN Lv45
#243 (PSYCHIC JACLYN)@312628 - YANMA Lv16
#244 (PSYCHIC HANNAH)@312650 - SPINDA Lv36
#245 (PSYCHIC SAMANTHA)@312678 - TORKOAL Lv36
#246 (PSYCHIC MAURA)@3126A0 - TOGETIC Lv36
#247 (PSYCHIC KAYLA)@3126C8 - SEEDOT Lv26, GLIGAR Lv26, KABUTOPS Lv26
#248 (PSYCHIC ALEXIS)@3126F0 - SURSKIT Lv41, KABUTOPS Lv41
#249 (PSYCHIC JACKI)@312718 - WEEDLE Lv30, TYRANITAR Lv30
#250 (PSYCHIC JACKI)@312740 - BUTTERFREE Lv34, SOLROCK Lv34
#251 (PSYCHIC JACKI)@312768 - KANGASKHAN Lv37, WAILORD Lv37
#252 (PSYCHIC JACKI)@312790 - CASTFORM Lv40, PELIPPER Lv40
#253 (PSYCHIC JACKI)@3127B8 - MAGCARGO Lv43, GRUMPIG Lv43
#254 (GENTLEMAN WALTER)@3127E0 - TENTACRUEL Lv29
#255 (GENTLEMAN MICAH)@312808 - GRANBULL Lv44, MEWTWO Lv44
#256 (GENTLEMAN THOMAS)@312830 - IVYSAUR Lv45
#257 (GENTLEMAN WALTER)@312858 - AZURILL Lv34
#258 (GENTLEMAN WALTER)@312880 - REGICE Lv36, NUMEL Lv36
#259 (GENTLEMAN WALTER)@3128A8 - BAYLEEF Lv39, NIDORAN♀ Lv39
#260 (GENTLEMAN WALTER)@3128D0 - LOUDRED Lv41, PIDGEY Lv41, SWABLU Lv41
#261 (ELITE FOUR SIDNEY)@3128F8 - HOPPIP Lv46, SHUCKLE Lv48, NIDORAN♂ Lv46, ALAKAZAM Lv48, SQUIRTLE@SITRUS BERRY Lv49
#262 (ELITE FOUR PHOEBE)@312920 - HOPPIP Lv48, NIDORAN♀ Lv49, CACNEA Lv50, ROSELIA Lv49, RAIKOU@SITRUS BERRY Lv51
#263 (ELITE FOUR GLACIA)@312948 - TENTACRUEL Lv50, VIGOROTH Lv50, VENUSAUR Lv52, LOTAD Lv52, WYNAUT@SITRUS BERRY Lv53
#264 (ELITE FOUR DRAKE)@312970 - MACHAMP Lv52, SKIPLOOM Lv54, BUTTERFREE Lv53, CLEFAIRY Lv53, MAGBY@SITRUS BERRY Lv55
#265 (LEADER ROXANNE)@312998 - MACHOP Lv12, ENTEI Lv12, REGIROCK@ORAN BERRY Lv15
#266 (LEADER BRAWLY)@3129C0 - MILOTIC Lv16, SWALOT Lv16, JIRACHI@SITRUS BERRY Lv19
#267 (LEADER WATTSON)@3129E8 - LEDIAN Lv20, GROWLITHE Lv20, MAGIKARP Lv22, MEDITITE@SITRUS BERRY Lv24
#268 (LEADER FLANNERY)@312A10 - BANETTE Lv24, AMPHAROS Lv24, MACHOKE Lv26, SUNFLORA@WHITE HERB Lv29
#269 (LEADER NORMAN)@312A38 - PARAS Lv27, GRAVELER Lv27, SWINUB Lv29, RHYDON@SITRUS BERRY Lv31
#270 (LEADER WINONA)@312A60 - SPHEAL Lv29, SEAKING Lv29, GRIMER Lv30, GIRAFARIG Lv31, LOTAD@ORAN BERRY Lv33
#271 (LEADER TATE&LIZA)@312A88 - WAILMER Lv41, PUPITAR Lv41, LANTURN@SITRUS BERRY Lv42, GRAVELER@SITRUS BERRY Lv42
#272 (LEADER JUAN)@312AB0 - CHARMANDER Lv41, MASQUERAIN Lv41, CACTURNE Lv43, NUMEL Lv43, QWILFISH@CHESTO BERRY Lv46
#273 (SCHOOL KID JERRY)@312AD8 - PIDGEOT Lv9
#274 (SCHOOL KID TED)@312B00 - KOFFING Lv17
#275 (SCHOOL KID PAUL)@312B28 - SLOWBRO Lv15, PUPITAR Lv15, RATICATE Lv15
#276 (SCHOOL KID JERRY)@312B50 - ELECTRIKE Lv26, VENONAT Lv26
#277 (SCHOOL KID JERRY)@312B78 - PERSIAN Lv29, SHELGON Lv29
#278 (SCHOOL KID JERRY)@312BA0 - HERACROSS Lv32, ARCANINE Lv32
#279 (SCHOOL KID JERRY)@312BC8 - COMBUSKEN Lv34, DUGTRIO Lv34, SWABLU Lv34
#280 (SCHOOL KID KAREN)@312BF0 - LAIRON Lv9
#281 (SCHOOL KID GEORGIA)@312C18 - BLASTOISE Lv16, LICKITUNG Lv16
#282 (SCHOOL KID KAREN)@312C40 - SMEARGLE Lv26, SNEASEL Lv26
#283 (SCHOOL KID KAREN)@312C68 - SCIZOR Lv29, TRAPINCH Lv29
#284 (SCHOOL KID KAREN)@312C90 - SKIPLOOM Lv32, FLYGON Lv32
#285 (SCHOOL KID KAREN)@312CB8 - DUSKULL Lv35, AERODACTYL Lv35
#286 (SR. AND JR. KATE & JOY)@312CE0 - ARTICUNO Lv30, NUMEL Lv32
#287 (SR. AND JR. ANNA & MEG)@312D08 - TRAPINCH Lv15, TRAPINCH Lv17
#288 (SR. AND JR. ANNA & MEG)@312D30 - STARMIE Lv28, MAWILE Lv30
#289 (SR. AND JR. ANNA & MEG)@312D58 - DRAGONAIR Lv31, SHUCKLE Lv33
#290 (SR. AND JR. ANNA & MEG)@312D80 - NINCADA Lv34, SPOINK Lv36
#291 (SR. AND JR. ANNA & MEG)@312DA8 - ODDISH Lv36, SQUIRTLE Lv38
#292 (WINSTRATE VICTOR)@312DD0 - AERODACTYL@ORAN BERRY Lv16, RAYQUAZA@ORAN BERRY Lv16
#293 (POKéFAN MIGUEL)@312DF8 - OMASTAR@ORAN BERRY Lv15
#294 (POKéFAN COLTON)@312E20 - NOCTOWL@ORAN BERRY Lv22, LUDICOLO@ORAN BERRY Lv36, AZUMARILL@ORAN BERRY Lv40, LEDYBA@ORAN BERRY Lv12, CHIMECHO@ORAN BERRY Lv30, FEEBAS@ORAN BERRY Lv42
#295 (POKéFAN MIGUEL)@312E48 - MEDICHAM@ORAN BERRY Lv29
#296 (POKéFAN MIGUEL)@312E70 - CLAYDOL@ORAN BERRY Lv32
#297 (POKéFAN MIGUEL)@312E98 - ELEKID@ORAN BERRY Lv35
#298 (POKéFAN MIGUEL)@312EC0 - BEEDRILL@SITRUS BERRY Lv38
#299 (WINSTRATE VICTORIA)@312EE8 - HOPPIP@ORAN BERRY Lv17
#300 (POKéFAN VANESSA)@312F10 - DRAGONITE@ORAN BERRY Lv30
#301 (POKéFAN BETHANY)@312F38 - OCTILLERY@ORAN BERRY Lv35, AZUMARILL@ORAN BERRY Lv37, GOLBAT@ORAN BERRY Lv39
#302 (POKéFAN ISABEL)@312F60 - RELICANTH@ORAN BERRY Lv14, IGGLYBUFF@ORAN BERRY Lv14
#303 (POKéFAN ISABEL)@312F88 - MEW@ORAN BERRY Lv26, DRAGONAIR@ORAN BERRY Lv26
#304 (POKéFAN ISABEL)@312FB0 - MANTINE@ORAN BERRY Lv29, BALTOY@ORAN BERRY Lv29
#305 (POKéFAN ISABEL)@312FD8 - METAPOD@ORAN BERRY Lv32, PHANPY@ORAN BERRY Lv32
#306 (POKéFAN ISABEL)@313000 - LOUDRED@SITRUS BERRY Lv35, TYPHLOSION@SITRUS BERRY Lv35
#307 (EXPERT TIMOTHY)@313028 - MAREEP Lv27
#308 (EXPERT TIMOTHY)@313050 - SLAKOTH Lv33
#309 (EXPERT TIMOTHY)@313078 - NOSEPASS Lv36
#310 (EXPERT TIMOTHY)@3130A0 - SEALEO Lv39
#311 (EXPERT TIMOTHY)@3130C8 - REGICE Lv42
#312 (WINSTRATE VICKY)@3130F0 - DUSTOX Lv18
#313 (EXPERT SHELBY)@313118 - DRATINI Lv21, GLIGAR Lv21
#314 (EXPERT SHELBY)@313140 - SPOINK Lv30, SCEPTILE Lv30
#315 (EXPERT SHELBY)@313168 - NIDOQUEEN Lv33, DODUO Lv33
#316 (EXPERT SHELBY)@313190 - CHANSEY Lv36, CASCOON Lv36
#317 (EXPERT SHELBY)@3131B8 - GOLEM Lv39, EEVEE Lv39
#318 (YOUNGSTER CALVIN)@3131E0 - LEDIAN Lv5
#319 (YOUNGSTER BILLY)@313208 - CORSOLA Lv5, TOGEPI Lv7
#320 (YOUNGSTER JOSH)@313230 - BEAUTIFLY Lv10
#321 (YOUNGSTER TOMMY)@313258 - MIGHTYENA Lv8, ZANGOOSE Lv8
#322 (YOUNGSTER JOEY)@313280 - GROUDON Lv9
#323 (YOUNGSTER BEN)@3132A8 - MANECTRIC Lv17, BUTTERFREE Lv17
#324 (COOLTRAINER QUINCY)@3132D0 - CUBONE Lv43, DONPHAN Lv43
#325 (COOLTRAINER KATELYNN)@3132F8 - KOFFING Lv43, CUBONE Lv43
#326 (YOUNGSTER JAYLEN)@313320 - QUAGSIRE Lv19
#327 (YOUNGSTER DILLON)@313348 - PARASECT Lv19
#328 (YOUNGSTER CALVIN)@313370 - SEVIPER Lv27
#329 (YOUNGSTER CALVIN)@313398 - SWELLOW Lv28, BANETTE Lv30
#330 (YOUNGSTER CALVIN)@3133C0 - LILEEP Lv31, TREECKO Lv29, DRAGONAIR Lv33
#331 (YOUNGSTER CALVIN)@3133E8 - MEOWTH Lv34, CROBAT Lv32, LEDYBA Lv36
#332 (YOUNGSTER EDDIE)@313410 - ELECTRIKE Lv14, SKIPLOOM Lv16
#333 (YOUNGSTER ALLEN)@313438 - MEGANIUM Lv4, KINGLER Lv3
#334 (YOUNGSTER TIMMY)@313460 - HOUNDOOM Lv15, GARDEVOIR Lv13
#335 (CHAMPION WALLACE)@313488 - TENTACRUEL Lv57, CLAMPERL Lv55, SKARMORY Lv56, DITTO Lv56, ARON Lv56, ABRA@SITRUS BERRY Lv58
#336 (FISHERMAN ANDREW)@3134B0 - LICKITUNG Lv5, CACTURNE Lv10, AZURILL Lv15
#337 (FISHERMAN IVAN)@3134D8 - GOLDUCK Lv5, PELIPPER Lv6, MUDKIP Lv7
#338 (FISHERMAN CLAUDE)@313500 - UNOWN Lv16, ARTICUNO Lv17, GLIGAR Lv18
#339 (FISHERMAN ELLIOT)@313528 - TORCHIC Lv10, HOUNDOOM Lv7, JUMPLUFF Lv10
#340 (FISHERMAN NED)@313550 - BAYLEEF Lv11
#341 (FISHERMAN DALE)@313578 - WOOPER Lv11, WOBBUFFET Lv14, LICKITUNG Lv11, LATIOS Lv14
#342 (FISHERMAN NOLAN)@3135A0 - ZIGZAGOON Lv19
#343 (FISHERMAN BARNY)@3135C8 - KYOGRE Lv25, GIRAFARIG Lv25
#344 (FISHERMAN WADE)@3135F0 - WARTORTLE Lv16
#345 (FISHERMAN CARTER)@313618 - RATICATE Lv25, SNUBBULL Lv25
#346 (FISHERMAN ELLIOT)@313640 - ARON Lv24, HITMONCHAN Lv27, GRIMER Lv27
#347 (FISHERMAN ELLIOT)@313668 - HOPPIP Lv29, BEEDRILL Lv26, MAGCARGO Lv26, WYNAUT Lv29
#348 (FISHERMAN ELLIOT)@313690 - RHYHORN Lv31, SHEDINJA Lv30, SILCOON Lv30, MAGMAR Lv31
#349 (FISHERMAN ELLIOT)@3136B8 - MASQUERAIN Lv33, KYOGRE Lv33, VOLTORB Lv33, SCEPTILE Lv35
#350 (FISHERMAN RONALD)@3136E0 - SHUPPET Lv19, WOBBUFFET Lv21, ESPEON Lv23, ARTICUNO Lv26, RALTS Lv30, SWABLU Lv35
#351 (TRIATHLETE JACOB)@313708 - SWELLOW Lv6, XATU Lv6, BAYLEEF Lv14
#352 (TRIATHLETE ANTHONY)@313730 - GIRAFARIG Lv14, MACHOP Lv14
#353 (TRIATHLETE BENJAMIN)@313758 - HOPPIP Lv16
#354 (TRIATHLETE BENJAMIN)@313780 - SPHEAL Lv30
#355 (TRIATHLETE BENJAMIN)@3137A8 - STEELIX Lv33
#356 (TRIATHLETE BENJAMIN)@3137D0 - CRADILY Lv36
#357 (TRIATHLETE BENJAMIN)@3137F8 - SKARMORY Lv39
#358 (TRIATHLETE ABIGAIL)@313820 - MEW Lv16
#359 (TRIATHLETE JASMINE)@313848 - DEWGONG Lv14, LOTAD Lv14, CACNEA Lv6
#360 (TRIATHLETE ABIGAIL)@313870 - STARYU Lv28
#361 (TRIATHLETE ABIGAIL)@313898 - REGIROCK Lv31
#362 (TRIATHLETE ABIGAIL)@3138C0 - ARIADOS Lv34
#363 (TRIATHLETE ABIGAIL)@3138E8 - SWABLU Lv37
#364 (TRIATHLETE DYLAN)@313910 - SWAMPERT Lv17
#365 (TRIATHLETE DYLAN)@313938 - BUTTERFREE Lv28
#366 (TRIATHLETE DYLAN)@313960 - GOLDEEN Lv31
#367 (TRIATHLETE DYLAN)@313988 - SWINUB Lv34
#368 (TRIATHLETE DYLAN)@3139B0 - KADABRA Lv37
#369 (TRIATHLETE MARIA)@3139D8 - ABRA Lv17
#370 (TRIATHLETE MARIA)@313A00 - FORRETRESS Lv28
#371 (TRIATHLETE MARIA)@313A28 - SURSKIT Lv31
#372 (TRIATHLETE MARIA)@313A50 - DUSKULL Lv34
#373 (TRIATHLETE MARIA)@313A78 - MEOWTH Lv37
#374 (TRIATHLETE CAMDEN)@313AA0 - CELEBI Lv33, DITTO Lv33
#375 (YOUNGSTER DEMETRIUS)@313AC8 - LILEEP Lv25, URSARING Lv25
#376 (TRIATHLETE ISAIAH)@313AF0 - SUNKERN Lv35
#377 (TRIATHLETE PABLO)@313B18 - MR. MIME Lv33, JIGGLYPUFF Lv33
#378 (TRIATHLETE CHASE)@313B40 - LANTURN Lv26, HO-OH Lv34
#379 (TRIATHLETE ISAIAH)@313B68 - GLOOM Lv39
#380 (TRIATHLETE ISAIAH)@313B90 - SNEASEL Lv42
#381 (TRIATHLETE ISAIAH)@313BB8 - MAGMAR Lv45
#382 (TRIATHLETE ISAIAH)@313BE0 - ANORITH Lv48
#383 (TRIATHLETE ISOBEL)@313C08 - EXEGGCUTE Lv34
#384 (TRIATHLETE DONNY)@313C30 - METAGROSS Lv26, SWABLU Lv34
#385 (TRIATHLETE TALIA)@313C58 - DEOXYS Lv34
#386 (TRIATHLETE KATELYN)@313C80 - KECLEON Lv35
#387 (TRIATHLETE ALLISON)@313CA8 - POLIWRATH Lv27, PELIPPER Lv33
#388 (TRIATHLETE KATELYN)@313CD0 - ARBOK Lv39
#389 (TRIATHLETE KATELYN)@313CF8 - RHYHORN Lv42
#390 (TRIATHLETE KATELYN)@313D20 - RALTS Lv45
#391 (TRIATHLETE KATELYN)@313D48 - JUMPLUFF Lv48
#392 (DRAGON TAMER NICOLAS)@313D70 - KAKUNA Lv37, GROVYLE Lv37
#393 (DRAGON TAMER NICOLAS)@313D98 - LOUDRED Lv41, ESPEON Lv41
#394 (DRAGON TAMER NICOLAS)@313DC0 - JYNX Lv44, SNEASEL Lv44
#395 (DRAGON TAMER NICOLAS)@313DE8 - PLUSLE Lv46, KABUTO Lv46, TOTODILE Lv46
#396 (DRAGON TAMER NICOLAS)@313E10 - STARMIE Lv49, MILOTIC Lv49, JIRACHI@DRAGON FANG Lv49
#397 (DRAGON TAMER AARON)@313E38 - MASQUERAIN Lv34
#398 (BIRD KEEPER PERRY)@313E60 - REMORAID Lv26
#399 (BIRD KEEPER HUGH)@313E88 - RATICATE Lv25, ILLUMISE Lv25
#400 (BIRD KEEPER PHIL)@313EB0 - SPINARAK Lv26
#401 (BIRD KEEPER JARED)@313ED8 - METAGROSS Lv27, CASTFORM Lv27, PARASECT Lv27
#402 (BIRD KEEPER HUMBERTO)@313F00 - PSYDUCK Lv30
#403 (BIRD KEEPER PRESLEY)@313F28 - GRAVELER Lv33, FLAAFFY Lv33
#404 (BIRD KEEPER EDWARDO)@313F50 - SEVIPER Lv29, IVYSAUR Lv29
#405 (BIRD KEEPER COLIN)@313F78 - NIDORAN♂ Lv28, HORSEA Lv28
#406 (BIRD KEEPER ROBERT)@313FA0 - TYPHLOSION Lv29
#407 (BIRD KEEPER BENNY)@313FC8 - SABLEYE Lv36, GOLEM Lv36, PELIPPER Lv36
#408 (BIRD KEEPER CHESTER)@313FF0 - QUILAVA Lv25, REGICE Lv25
#409 (BIRD KEEPER ROBERT)@314018 - ARMALDO Lv32, MISDREAVUS Lv32
#410 (BIRD KEEPER ROBERT)@314040 - METAGROSS Lv35, PERSIAN Lv35
#411 (BIRD KEEPER ROBERT)@314068 - SLOWPOKE Lv38, KYOGRE Lv38
#412 (BIRD KEEPER ROBERT)@314090 - SKARMORY Lv41, SNUBBULL Lv41
#413 (BIRD KEEPER ALEX)@3140B8 - VENONAT Lv33, NIDORAN♀ Lv33
#414 (BIRD KEEPER BECK)@3140E0 - VIBRAVA Lv34
#415 (NINJA BOY YASU)@314108 - PERSIAN Lv26
#416 (NINJA BOY TAKASHI)@314130 - PICHU Lv25, YANMA Lv25
#417 (COOLTRAINER DIANNE)@314158 - CHIMECHO Lv43, GLALIE Lv43
#418 (TUBER JANI)@314180 - CROCONAW Lv26
#419 (NINJA BOY LAO)@3141A8 - WAILMER Lv17, STARMIE Lv17, DUSKULL Lv17
#420 (NINJA BOY LUNG)@3141D0 - MANTINE Lv18, CHARMANDER Lv18
#421 (NINJA BOY LAO)@3141F8 - MAGBY Lv24, JUMPLUFF Lv24, BEEDRILL Lv24, TOTODILE Lv26
#422 (NINJA BOY LAO)@314220 - ELECTRODE Lv27, SABLEYE Lv27, GRIMER Lv27, GOLDUCK Lv29
#423 (NINJA BOY LAO)@314248 - MISDREAVUS Lv30, AZURILL Lv30, MINUN Lv30, NINJASK Lv32
#424 (NINJA BOY LAO)@314270 - PERSIAN Lv33, PSYDUCK Lv33, MAGNETON Lv33, SOLROCK@SMOKE BALL Lv35
#425 (BATTLE GIRL JOCELYN)@314298 - PIDGEOTTO Lv13
#426 (BATTLE GIRL LAURA)@3142C0 - TEDDIURSA Lv13
#427 (BATTLE GIRL CYNDY)@3142E8 - KINGLER Lv18, HERACROSS Lv18
#428 (BATTLE GIRL CORA)@314310 - SPHEAL Lv27
#429 (BATTLE GIRL PAULA)@314338 - BUTTERFREE Lv27
#430 (BATTLE GIRL CYNDY)@314360 - ONIX Lv26, SLOWPOKE Lv26
#431 (BATTLE GIRL CYNDY)@314388 - SNUBBULL Lv29, CUBONE Lv29
#432 (BATTLE GIRL CYNDY)@3143B0 - QUILAVA Lv32, GENGAR Lv32
#433 (BATTLE GIRL CYNDY)@3143D8 - BAYLEEF Lv35, LAPRAS Lv35
#434 (PARASOL LADY MADELINE)@314400 - LOTAD Lv19
#435 (PARASOL LADY CLARISSA)@314428 - OCTILLERY Lv28, CASTFORM Lv28
#436 (PARASOL LADY ANGELICA)@314450 - BARBOACH Lv30
#437 (PARASOL LADY MADELINE)@314478 - CACNEA Lv29
#438 (PARASOL LADY MADELINE)@3144A0 - AZURILL Lv32
#439 (PARASOL LADY MADELINE)@3144C8 - LUGIA Lv34, VENONAT Lv34
#440 (PARASOL LADY MADELINE)@3144F0 - SEEL Lv37, PORYGON Lv37
#441 (SWIMMER♀ BEVERLY)@314518 - HOPPIP Lv25, TENTACRUEL Lv25
#442 (SWIMMER♀ IMANI)@314540 - LAIRON Lv26
#443 (SWIMMER♀ KYLA)@314568 - LUGIA Lv26
#444 (SWIMMER♀ DENISE)@314590 - TORCHIC Lv25, ARTICUNO Lv25
#445 (SWIMMER♀ BETH)@3145B8 - GYARADOS Lv26
#446 (SWIMMER♀ TARA)@3145E0 - SWABLU Lv25, AGGRON Lv25
#447 (SWIMMER♀ MISSY)@314608 - HUNTAIL Lv26
#448 (SWIMMER♀ ALICE)@314630 - DUGTRIO Lv24, LICKITUNG Lv24, MANKEY Lv24
#449 (SWIMMER♀ JENNY)@314658 - GOLDUCK Lv34
#450 (SWIMMER♀ GRACE)@314680 - LEDIAN Lv34
#451 (SWIMMER♀ TANYA)@3146A8 - PIKACHU Lv34
#452 (SWIMMER♀ SHARON)@3146D0 - SKARMORY Lv34
#453 (SWIMMER♀ NIKKI)@3146F8 - CASCOON Lv33, WYNAUT Lv33
#454 (SWIMMER♀ BRENDA)@314720 - KOFFING Lv34
#455 (SWIMMER♀ KATIE)@314748 - PLUSLE Lv33, BAGON Lv33
#456 (SWIMMER♀ SUSIE)@314770 - EXPLOUD Lv34
#457 (SWIMMER♀ KARA)@314798 - MANECTRIC Lv34
#458 (SWIMMER♀ DANA)@3147C0 - SLOWPOKE Lv34
#459 (SWIMMER♀ SIENNA)@3147E8 - LUDICOLO Lv33, SILCOON Lv33
#460 (SWIMMER♀ DEBRA)@314810 - PIDGEY Lv34
#461 (SWIMMER♀ LINDA)@314838 - BLASTOISE Lv33, MILOTIC Lv33
#462 (SWIMMER♀ KAYLEE)@314860 - SLOWBRO Lv34, SCIZOR Lv34
#463 (SWIMMER♀ LAUREL)@314888 - TRAPINCH Lv33, KINGLER Lv33
#464 (SWIMMER♀ CARLEE)@3148B0 - CHARMELEON Lv35
#465 (SWIMMER♀ JENNY)@3148D8 - PUPITAR Lv38
#466 (SWIMMER♀ JENNY)@314900 - JOLTEON Lv41
#467 (SWIMMER♀ JENNY)@314928 - QUILAVA Lv43, DUSTOX Lv43
#468 (SWIMMER♀ JENNY)@314950 - TROPIUS Lv45, CLEFAIRY Lv45, MAREEP Lv45
#469 (PICNICKER HEIDI)@314978 - RATTATA Lv22, DUSTOX Lv22
#470 (PICNICKER BECKY)@3149A0 - VOLBEAT Lv22, MACHOP Lv22
#471 (PICNICKER CAROL)@3149C8 - PICHU Lv17, CASCOON Lv17
#472 (PICNICKER NANCY)@3149F0 - SCIZOR Lv18, ELEKID Lv18
#473 (PICNICKER MARTHA)@314A18 - DUSTOX Lv23, CASCOON Lv23
#474 (PICNICKER DIANA)@314A40 - VIBRAVA Lv19, HYPNO Lv19, KIRLIA Lv19
#475 (PSYCHIC CEDRIC)@314A68 - PSYDUCK Lv32
#476 (PICNICKER IRENE)@314A90 - LUVDISC Lv17, SLOWKING Lv17
#477 (PICNICKER DIANA)@314AB8 - FEAROW Lv25, CHANSEY Lv25, DRAGONAIR Lv25
#478 (PICNICKER DIANA)@314AE0 - ELECTABUZZ Lv28, DELIBIRD Lv28, DELIBIRD Lv28
